AD,PS,BE,CDU,PAN,LIVRE,IL,Chega
98,74,5,3,0,3,9,38
97,67,8,3,1,3,8,43
97,72,6,5,1,3,9,37
94,71,5,5,1,3,9,42
96,73,5,5,1,3,9,38
93,73,6,2,1,4,9,42
90,73,8,5,1,3,11,39
94,72,7,5,1,3,11,37
95,73,7,4,2,3,9,37
96,75,5,4,1,3,9,37
94,74,7,5,1,3,9,37
99,66,6,5,1,3,12,38
94,72,7,3,1,3,9,41
93,75,7,5,1,3,9,37
95,69,9,5,1,3,9,39
95,72,8,5,1,3,9,37
99,65,5,4,1,3,9,44
101,67,8,5,1,3,9,36
91,74,7,5,1,3,11,38
94,70,8,5,1,3,9,40
94,71,5,5,1,3,9,42
92,73,5,5,1,3,9,42
95,74,5,5,1,3,9,38
95,75,5,5,0,3,9,38
95,71,6,4,1,3,10,40
93,71,7,5,1,3,8,42
93,75,7,3,1,3,11,37
94,72,5,4,1,3,9,42
95,73,8,3,1,3,9,38
91,72,7,5,1,3,9,42
94,72,5,5,1,3,9,41
90,74,7,5,1,3,11,39
92,70,8,5,1,3,10,41
92,74,7,4,1,3,10,39
93,71,8,4,0,3,9,42
99,64,7,5,1,3,12,39
96,71,5,4,1,3,9,41
95,75,5,5,1,4,9,36
95,75,5,5,1,3,9,37
94,69,7,4,1,3,11,41
95,73,6,5,1,3,9,38
99,70,6,5,1,3,9,37
100,70,7,5,0,3,10,35
93,72,8,5,1,3,9,39
93,71,7,5,1,3,9,41
91,75,8,4,1,3,9,39
95,73,8,4,1,3,9,37
95,71,7,5,1,3,11,37
100,68,7,3,1,3,9,39
93,72,7,4,1,3,11,39
94,72,8,5,2,3,9,37
94,74,5,5,1,3,9,39
96,64,7,5,1,3,12,42
94,70,7,5,1,3,9,41
93,71,7,5,1,3,9,41
95,72,8,4,1,3,9,38
100,67,8,2,1,4,9,39
97,69,7,4,1,3,9,40
91,72,7,5,1,3,9,42
100,65,6,4,1,3,11,40
94,73,8,5,1,3,9,37
97,69,5,5,1,3,12,38
91,74,8,5,1,3,9,39
93,71,8,5,1,3,9,40
90,72,7,5,1,3,10,42
91,75,5,5,0,3,10,41
93,73,5,5,1,3,9,41
94,71,5,5,1,3,9,42
91,74,7,5,1,3,11,38
96,74,5,4,1,3,10,37
95,75,5,3,1,3,11,37
93,77,5,5,1,3,9,37
91,70,8,5,1,3,9,43
97,68,6,4,1,3,12,39
98,69,5,4,1,3,9,41
91,74,8,5,1,3,9,39
95,74,5,5,1,3,9,38
95,73,6,5,1,3,10,37
100,63,8,5,1,3,9,41
96,68,6,5,0,3,10,42
95,72,7,4,1,3,11,37
95,71,6,5,1,3,11,38
96,69,10,5,1,3,9,37
94,72,5,5,0,3,9,42
91,73,8,3,1,3,9,42
93,74,7,5,1,3,10,37
96,69,7,5,0,3,10,40
99,69,5,2,1,3,9,42
90,75,7,5,1,3,9,40
92,74,6,3,1,3,9,42
94,72,8,5,1,3,10,37
91,71,9,5,1,3,9,41
94,72,9,5,1,3,9,37
95,68,5,5,1,3,12,41
98,69,8,4,1,3,10,37
97,70,8,4,1,3,9,38
95,71,8,5,1,3,9,38
96,74,5,4,0,3,9,39
95,74,8,4,0,3,9,37
90,71,7,5,1,3,11,42
92,72,8,5,1,3,10,39
90,69,7,5,1,4,12,42
92,74,7,5,1,3,11,37
98,73,6,5,1,3,9,35
93,75,7,4,1,3,9,38
94,70,7,4,0,4,8,43
93,74,5,4,1,3,9,41
92,69,8,5,1,3,9,43
93,73,7,5,1,3,9,39
96,74,5,4,1,3,9,38
95,72,8,5,1,3,10,36
95,71,8,2,1,4,9,40
92,68,8,4,1,4,10,43
91,71,8,5,1,3,9,42
97,68,8,5,1,3,9,39
95,74,5,5,1,3,10,37
93,71,9,5,0,3,8,41
94,72,8,5,1,3,9,38
94,71,8,3,1,3,9,41
98,70,5,5,1,3,12,36
92,75,7,4,0,3,9,40
94,72,7,5,1,3,9,39
93,72,6,5,0,3,9,42
94,71,8,4,0,3,9,41
96,70,6,5,1,3,9,40
97,70,6,4,1,3,12,37
94,70,6,5,1,3,9,42
91,74,9,5,1,4,10,36
93,71,9,5,1,3,9,39
93,75,8,3,1,3,9,38
92,70,7,5,1,3,9,43
100,69,7,5,1,3,9,36
96,64,8,5,1,4,9,43
91,73,7,5,1,3,9,41
95,73,6,5,0,3,10,38
95,73,7,5,1,3,9,37
91,71,8,5,1,3,9,42
92,75,7,2,1,4,9,40
91,74,7,4,1,3,9,41
91,72,7,3,1,3,11,42
92,70,8,5,1,3,8,43
94,74,7,4,1,3,9,38
93,75,7,5,1,3,9,37
96,69,7,3,1,4,9,41
92,75,8,3,1,3,9,39
94,71,5,5,1,3,9,42
93,71,7,5,1,3,9,41
92,72,9,4,1,3,9,40
95,75,7,4,1,3,8,37
93,72,9,4,1,3,10,38
95,73,7,4,1,3,10,37
93,70,8,5,0,4,9,41
94,72,7,3,1,3,9,41
94,72,5,5,0,3,9,42
92,71,7,5,1,3,10,41
97,70,8,5,1,3,9,37
95,72,6,4,0,3,9,41
97,69,6,5,1,3,9,40
91,73,10,4,0,3,9,40
91,72,8,4,1,3,9,42
93,75,7,4,1,3,9,38
98,74,5,5,1,3,9,35
96,73,6,4,1,3,9,38
97,67,8,5,1,3,10,39
95,69,8,5,1,4,9,39
91,70,8,5,1,3,9,43
95,74,5,5,1,3,9,38
95,70,8,3,1,3,9,41
92,74,6,5,1,3,9,40
96,72,7,4,1,3,9,38
93,73,7,5,0,3,9,40
91,74,7,5,1,3,11,38
91,75,8,3,1,3,9,40
92,74,7,5,1,3,9,39
94,75,5,5,0,3,9,39
91,73,7,4,1,3,9,42
95,75,5,4,1,3,9,38
100,65,7,4,1,3,9,41
99,69,6,4,0,3,9,40
98,68,8,4,1,3,9,39
96,69,7,5,1,3,12,37
96,68,5,5,1,3,9,43
91,75,7,4,1,3,9,40
95,74,6,4,1,3,9,38
93,71,6,5,1,3,9,42
94,71,4,5,0,3,11,42
99,67,7,4,1,3,9,40
97,73,7,5,1,3,10,34
96,75,5,4,1,3,9,37
91,74,9,5,1,3,10,37
95,68,5,4,1,3,11,43
95,70,7,3,1,3,11,40
95,72,6,4,1,3,11,38
95,72,8,4,1,3,10,37
94,72,7,4,1,3,11,38
91,76,7,4,1,3,9,39
92,72,7,2,1,4,9,43
92,74,9,4,1,3,9,38
96,69,7,5,1,3,12,37
96,73,6,3,1,3,9,39
94,73,8,5,0,3,10,37
94,75,4,5,1,3,9,39
96,70,5,3,1,4,9,42
95,72,7,3,1,3,9,40
94,71,7,5,0,5,11,37
93,75,8,5,0,3,9,37
