PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
99,96,0,8,7,1,1,9,9
96,101,0,7,8,1,1,6,10
88,101,0,9,8,2,1,10,11
91,104,0,7,8,1,1,7,11
91,103,0,8,8,1,1,7,11
97,98,0,8,8,1,1,6,11
98,98,0,7,8,1,1,6,11
101,94,0,7,8,2,1,6,11
97,98,0,7,7,1,1,9,10
92,101,0,9,8,1,1,8,10
94,100,0,9,8,1,1,6,11
89,105,0,9,8,2,1,6,10
96,98,0,7,7,2,1,8,11
95,101,0,7,7,2,1,6,11
95,98,0,9,6,2,1,9,10
92,101,0,8,7,2,1,8,11
96,100,0,9,6,1,1,6,11
101,96,0,7,7,1,1,6,11
97,95,0,10,7,1,1,8,11
95,99,0,9,8,1,1,6,11
98,95,0,9,8,1,1,7,11
94,101,0,7,8,2,1,6,11
95,101,0,7,8,2,1,6,10
95,97,0,8,9,1,1,8,11
96,97,0,8,7,2,1,8,11
91,105,0,7,8,1,1,7,10
90,103,0,10,6,1,1,8,11
92,98,0,10,8,2,1,8,11
99,98,0,9,5,1,1,7,10
95,102,0,7,8,1,1,8,8
94,99,0,9,8,2,1,6,11
97,98,0,7,8,2,1,6,11
90,103,0,9,7,1,1,9,10
94,98,0,9,8,1,1,9,10
90,101,0,9,8,2,1,9,10
98,97,0,9,6,1,1,8,10
98,98,0,7,8,1,1,6,11
90,103,0,7,8,1,1,9,11
97,95,0,10,8,2,1,6,11
97,98,0,9,7,2,1,6,10
93,99,0,10,8,1,1,8,10
99,96,0,9,8,2,1,6,9
97,101,0,7,7,1,1,6,10
90,103,0,9,8,2,1,6,11
93,98,1,10,8,1,1,8,10
99,99,0,9,5,2,1,6,9
94,101,1,8,7,1,1,6,11
93,103,0,7,8,2,1,8,8
98,98,0,7,7,2,1,6,11
91,104,0,7,7,1,1,8,11
91,101,0,10,8,2,1,6,11
98,95,0,8,8,2,1,7,11
97,98,0,7,7,1,1,9,10
98,98,0,7,8,1,1,9,8
95,98,0,9,6,2,1,8,11
99,96,0,9,8,1,1,6,10
93,103,0,7,7,1,1,7,11
91,103,0,8,8,1,1,7,11
98,94,0,10,7,2,1,8,10
92,100,0,9,9,2,1,7,10
94,99,0,10,6,1,1,8,11
97,102,0,7,6,1,1,7,9
98,96,0,9,8,1,1,6,11
95,100,0,9,8,2,1,7,8
89,105,0,7,7,1,1,9,11
96,96,0,11,7,1,1,8,10
95,102,1,7,7,1,1,6,10
90,105,0,7,8,1,1,7,11
94,102,0,7,8,1,1,6,11
89,105,0,7,8,2,1,8,10
92,101,1,8,8,1,1,7,11
87,109,0,7,8,1,1,7,10
99,100,0,7,5,1,1,6,11
94,100,0,9,6,1,1,8,11
93,105,0,7,7,1,1,6,10
92,103,0,7,8,2,1,6,11
98,98,0,10,7,1,1,6,9
94,98,0,8,8,1,1,9,11
94,100,0,9,7,1,1,8,10
98,96,0,9,8,2,1,6,10
95,102,0,7,7,2,1,6,10
93,100,0,9,6,2,1,8,11
89,102,0,8,7,2,1,10,11
95,99,0,9,8,1,1,7,10
93,101,0,7,8,1,1,8,11
94,104,0,8,8,1,1,6,8
96,97,0,9,8,2,1,6,11
93,99,0,10,8,1,1,8,10
95,103,0,7,5,1,1,7,11
94,101,0,9,7,1,1,6,11
94,95,0,9,8,2,1,10,11
93,98,1,8,9,1,1,8,11
91,103,0,10,8,1,1,6,10
95,99,0,7,8,2,1,7,11
100,96,0,9,8,1,1,6,9
92,101,0,9,8,1,1,8,10
98,98,0,7,8,1,1,6,11
90,107,0,7,8,1,1,6,10
99,97,0,9,7,2,1,6,9
98,99,0,9,5,2,1,6,10
96,101,0,7,7,1,1,9,8
99,94,0,8,8,2,1,7,11
94,103,0,7,8,1,1,6,10
96,97,0,9,9,1,1,6,11
93,100,0,10,7,2,1,6,11
89,104,0,10,6,1,1,8,11
94,100,0,9,8,1,1,6,11
93,104,0,7,7,1,1,6,11
90,104,1,7,7,1,1,9,10
95,99,0,9,8,1,1,7,10
97,98,0,8,7,1,1,8,10
96,97,0,10,8,2,1,6,10
91,104,0,7,8,1,1,7,11
93,101,0,9,7,2,1,7,10
98,98,0,7,8,1,1,6,11
92,104,0,7,7,1,1,7,11
94,101,1,7,7,2,1,6,11
90,102,0,7,9,2,1,8,11
95,97,0,9,8,2,1,8,10
96,97,0,9,8,2,1,7,10
97,98,0,9,8,1,1,6,10
92,103,0,9,8,1,1,6,10
94,101,0,10,6,1,1,6,11
93,102,0,7,8,2,1,6,11
94,99,0,9,8,2,1,7,10
92,105,0,7,7,1,1,6,11
94,102,0,7,7,2,1,6,11
91,103,0,9,7,1,1,8,10
95,101,0,7,7,2,1,7,10
95,98,0,10,8,1,1,7,10
99,98,0,7,7,1,1,8,9
96,96,0,9,7,2,1,8,11
94,98,0,7,8,2,1,9,11
91,101,0,10,9,1,1,6,11
90,102,0,10,8,2,1,6,11
91,105,0,7,8,1,1,6,11
100,95,0,9,8,1,1,7,9
